City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
365,pailon,-17.65,-62.75,296.65,91,100,3.62,BO,1674554872
366,tucurui,-3.7661,-49.6725,295.43,98,99,0.96,BR,1674554872
367,maningrida,-12.0667,134.2667,300.25,81,100,3.1,AU,1674554872
368,halifax,44.6453,-63.5724,271.73,90,100,5.81,CA,1674554873
369,hambantota,6.1241,81.1185,300.34,89,75,1.54,LK,1674554713
370,banyo,6.75,11.8167,303.67,14,86,2.95,CM,1674554873
371,aketi,2.7388,23.7833,309.51,24,100,0.38,CD,1674554874
372,humberto de campos,-2.5983,-43.4611,296.72,94,19,1.19,BR,1674554874
373,pemangkat,1.1667,108.9667,299.03,87,99,6.33,ID,1674554874
374,kongolo,-5.3833,27.0,299.41,74,99,1.84,CD,1674554874
375,lobito,-12.3481,13.5456,301.09,67,78,4.12,AO,1674554874
376,puerto suarez,-18.95,-57.8,295.07,96,99,0.85,BO,1674554875
377,hobyo,5.3505,48.5268,300.25,60,20,10.37,SO,1674554875
378,praia,14.9215,-23.5087,295.45,64,40,5.66,CV,1674554875
379,cervo,43.6702,-7.4101,281.91,75,100,7.45,ES,1674554876
380,port hedland,-20.3167,118.5667,303.18,74,80,5.14,AU,1674554876
381,bilma,18.6853,12.9164,301.24,8,1,4.08,NE,1674554876
382,pomabamba,-8.8333,-77.4667,281.48,89,94,1.08,PE,1674554876
383,san vicente,-26.6167,-54.1333,292.89,69,0,0.81,AR,1674554876
384,komsomolskiy,40.4272,71.7189,274.55,44,4,1.03,UZ,1674554876
385,marrakesh,31.6315,-8.0083,282.19,71,0,3.6,MA,1674554877
386,port moresby,-9.4431,147.1797,299.5,85,100,1.57,PG,1674554724
387,yerbogachen,61.2767,108.0108,233.23,100,72,0.2,RU,1674554877
388,barkly west,-28.5354,24.5215,307.22,18,7,5.33,ZA,1674554877
389,bubaque,11.2833,-15.8333,296.06,79,9,2.99,GW,1674554877
390,oksbol,55.6268,8.2876,276.43,85,69,4.28,DK,1674554877
391,warrnambool,-38.3833,142.4833,289.49,92,15,3.65,AU,1674554878
392,norman wells,65.282,-126.8329,251.38,99,100,0.1,CA,1674554878
393,dwarka,22.2394,68.9678,294.15,29,5,5.65,IN,1674554754
394,ahipara,-35.1667,173.1667,291.13,91,100,3.44,NZ,1674554878
395,poso,-1.3959,120.7524,299.84,81,89,0.35,ID,1674554878
396,murmashi,68.8154,32.8115,271.38,74,0,4.02,RU,1674554878
397,dundalk,39.2507,-76.5205,276.14,72,0,3.09,US,1674554818
398,dabakala,8.3667,-4.4333,303.36,52,16,2.64,CI,1674554879
399,nome,64.5011,-165.4064,255.19,60,0,6.69,US,1674554879
400,moultonborough,43.7548,-71.3967,271.99,97,33,1.87,US,1674554879
401,villagarzon,1.0375,-76.6267,294.0,94,100,0.68,CO,1674554879
402,grand-lahou,5.1367,-5.0242,302.05,71,69,2.61,CI,1674554879
403,olafsvik,64.8945,-23.7142,278.51,91,73,9.51,IS,1674554879
404,diffa,13.3154,12.6113,303.47,10,89,6.37,NE,1674554880
405,harper,4.375,-7.7169,301.74,71,35,2.2,LR,1674554880
406,mahebourg,-20.4081,57.7,298.73,72,100,1.97,MU,1674554880
407,winnemucca,40.973,-117.7357,269.16,78,1,1.4,US,1674554880
408,grand gaube,-20.0064,57.6608,297.17,82,100,4.02,MU,1674554881
409,moron,-34.6534,-58.6198,298.69,56,39,3.72,AR,1674554881
